algorithm,workload,avg_latency,std_latency,p95_latency,success_rate
adaptive,burst,899.6992506980896,653.9359138645185,2535.8158111572266,100.0
adaptive,constant,880.6175858974457,648.9503182979125,2537.351977825165,100.0
adaptive,heavy_tail,879.2072777748108,612.6840078424759,2529.750168323517,100.0
least_connection,burst,864.6345043182373,641.9988288555192,2538.203716278076,100.0
least_connection,constant,873.0673387050629,655.6348134968699,2542.760396003723,100.0
least_connection,heavy_tail,866.7778549194336,633.6836588217166,2539.9524211883545,100.0
p2c,burst,884.4136698246002,646.6880536707026,2534.3340158462524,100.0
p2c,constant,897.6266314983368,667.71841332547,2538.2381319999695,100.0
p2c,heavy_tail,911.3935956954956,678.2341827497659,2545.2345848083496,100.0
peak_ewma,burst,848.5225338935852,589.0722195940967,2529.6948432922363,100.0
peak_ewma,constant,877.1610612869263,623.1683833612897,2534.955894947052,100.0
peak_ewma,heavy_tail,907.5269105434418,653.1243962435385,2538.7252807617188,100.0
round_robin,burst,840.4525854587555,598.0740932238098,2528.420877456665,100.0
round_robin,constant,890.735449552536,650.7988301286993,2536.214065551758,100.0
round_robin,heavy_tail,914.6499555110931,678.4480648847353,2541.2253499031067,100.0
weighted_response_time,burst,977.3110382556915,655.7756635815331,2535.540008544922,100.0
weighted_response_time,constant,1006.4896504878998,669.265801497302,2536.538851261139,100.0
weighted_response_time,heavy_tail,996.7113614082336,676.0092257675373,2540.5839920043945,100.0
